#Top: design_netlist_EMPTY   Floorplan: io_1   Part: xc6slx16csg324-2
#Generated by: terjr   on: Thu Sep 26 14:02:41 2013
#Build: PlanAhead v12.4   by: hdbuild   on: Tue Nov  9 17:32:56 MST 2010

IO Bank,BUFIO2 Region,Pin Number,IOB Alias,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,Pull Type,IN_TERM,OUT_TERM,OFFCHIP_TERM
1,RT,F15,PAD67,IO_L1P_A25_1,,,,EBI,EBI_A[0],IN,,,LVCMOS33,12,SLOW,,UNTUNED_SPLIT_25,,
1,RT,F16,PAD68,IO_L1N_A24_VREF_1,,,,EBI,EBI_A[1],IN,,,LVCMOS33,12,SLOW,,UNTUNED_SPLIT_25,,
1,RT,C17,PAD69,IO_L29P_A23_M1A13_1,,,,EBI,EBI_A[2],IN,,,LVCMOS33,12,SLOW,,UNTUNED_SPLIT_25,,
1,RT,C18,PAD70,IO_L29N_A22_M1A14_1,,,,EBI,EBI_A[3],IN,,,LVCMOS33,12,SLOW,,UNTUNED_SPLIT_25,,
1,RT,F14,PAD71,IO_L30P_A21_M1RESET_1,,,,EBI,EBI_A[4],IN,,,LVCMOS33,12,SLOW,,UNTUNED_SPLIT_25,,
1,RT,G14,PAD72,IO_L30N_A20_M1A11_1,,,,EBI,EBI_A[5],IN,,,LVCMOS33,12,SLOW,,UNTUNED_SPLIT_25,,
1,RT,D17,PAD73,IO_L31P_A19_M1CKE_1,,,,EBI,EBI_A[6],IN,,,LVCMOS33,12,SLOW,,UNTUNED_SPLIT_25,,
1,RT,D18,PAD74,IO_L31N_A18_M1A12_1,,,,EBI,EBI_A[7],IN,,,LVCMOS33,12,SLOW,,UNTUNED_SPLIT_25,,
1,RT,H12,PAD75,IO_L32P_A17_M1A8_1,,,,EBI,EBI_A[8],IN,,,LVCMOS33,12,SLOW,,UNTUNED_SPLIT_25,,
1,RT,G13,PAD76,IO_L32N_A16_M1A9_1,,,,EBI,EBI_A[9],IN,,,LVCMOS33,12,SLOW,,UNTUNED_SPLIT_25,,
1,RT,E16,PAD77,IO_L33P_A15_M1A10_1,,,,EBI,EBI_A[10],IN,,,LVCMOS33,12,SLOW,,UNTUNED_SPLIT_25,,
1,RT,E18,PAD78,IO_L33N_A14_M1A4_1,,,,EBI,EBI_A[11],IN,,,LVCMOS33,12,SLOW,,UNTUNED_SPLIT_25,,
1,RT,K12,PAD79,IO_L34P_A13_M1WE_1,,,,EBI,EBI_A[12],IN,,,LVCMOS33,12,SLOW,,UNTUNED_SPLIT_25,,
1,RT,K13,PAD80,IO_L34N_A12_M1BA2_1,,,,EBI,EBI_A[13],IN,,,LVCMOS33,12,SLOW,,UNTUNED_SPLIT_25,,
1,RT,F17,PAD81,IO_L35P_A11_M1A7_1,,,,EBI,EBI_A[14],IN,,,LVCMOS33,12,SLOW,,UNTUNED_SPLIT_25,,
1,RT,F18,PAD82,IO_L35N_A10_M1A2_1,,,,EBI,EBI_A[15],IN,,,LVCMOS33,12,SLOW,,UNTUNED_SPLIT_25,,
1,RT,H13,PAD83,IO_L36P_A9_M1BA0_1,,,,EBI,EBI_A[16],IN,,,LVCMOS33,12,SLOW,,UNTUNED_SPLIT_25,,
1,RT,H14,PAD84,IO_L36N_A8_M1BA1_1,,,,EBI,EBI_A[17],IN,,,LVCMOS33,12,SLOW,,UNTUNED_SPLIT_25,,
1,RT,H15,PAD85,IO_L37P_A7_M1A0_1,,,,EBI,EBI_A[18],IN,,,LVCMOS33,12,SLOW,,UNTUNED_SPLIT_25,,
1,RT,H16,PAD86,IO_L37N_A6_M1A1_1,,,,EBI,EBI_A[19],IN,,,LVCMOS33,12,SLOW,,UNTUNED_SPLIT_25,,
1,RT,G16,PAD87,IO_L38P_A5_M1CLK_1,,,,EBI,EBI_A[20],IN,,,LVCMOS33,12,SLOW,,UNTUNED_SPLIT_25,,
1,RT,G18,PAD88,IO_L38N_A4_M1CLKN_1,,,,EBI,EBI_A[21],IN,,,LVCMOS33,12,SLOW,,UNTUNED_SPLIT_25,,
1,RT,J13,PAD89,IO_L39P_M1A3_1,,,,EBI,EBI_A[22],IN,,,LVCMOS33,12,SLOW,,UNTUNED_SPLIT_25,,
1,RB,P18,PAD110,IO_L49N_M1DQ11_1,,,,EBI,EBI_D[0],INOUT,,,LVCMOS33,,FAST,,UNTUNED_SPLIT_25,UNTUNED_25,NONE
1,RB,P17,PAD109,IO_L49P_M1DQ10_1,,,,EBI,EBI_D[1],INOUT,,,LVCMOS33,,FAST,,UNTUNED_SPLIT_25,UNTUNED_25,NONE
1,RB,N18,PAD108,IO_L48N_M1DQ9_1,,,,EBI,EBI_D[2],INOUT,,,LVCMOS33,,FAST,,UNTUNED_SPLIT_25,UNTUNED_25,NONE
1,RB,N17,PAD107,IO_L48P_HDC_M1DQ8_1,,,,EBI,EBI_D[3],INOUT,,,LVCMOS33,,FAST,,UNTUNED_SPLIT_25,UNTUNED_25,NONE
1,RB,M18,PAD106,IO_L47N_LDC_M1DQ1_1,,,,EBI,EBI_D[4],INOUT,,,LVCMOS33,,FAST,,UNTUNED_SPLIT_25,UNTUNED_25,NONE
1,RB,M16,PAD105,IO_L47P_FWE_B_M1DQ0_1,,,,EBI,EBI_D[5],INOUT,,,LVCMOS33,,FAST,,UNTUNED_SPLIT_25,UNTUNED_25,NONE
1,RB,L18,PAD104,IO_L46N_FOE_B_M1DQ3_1,,,,EBI,EBI_D[6],INOUT,,,LVCMOS33,,FAST,,UNTUNED_SPLIT_25,UNTUNED_25,NONE
1,RB,L17,PAD103,IO_L46P_FCS_B_M1DQ2_1,,,,EBI,EBI_D[7],INOUT,,,LVCMOS33,,FAST,,UNTUNED_SPLIT_25,UNTUNED_25,NONE
1,RB,K18,PAD102,IO_L45N_A0_M1LDQSN_1,,,,EBI,EBI_D[8],INOUT,,,LVCMOS33,,FAST,,UNTUNED_SPLIT_25,UNTUNED_25,NONE
1,RB,K17,PAD101,IO_L45P_A1_M1LDQS_1,,,,EBI,EBI_D[9],INOUT,,,LVCMOS33,,FAST,,UNTUNED_SPLIT_25,UNTUNED_25,NONE
1,RB,J18,PAD100,IO_L44N_A2_M1DQ7_1,,,,EBI,EBI_D[10],INOUT,,,LVCMOS33,,FAST,,UNTUNED_SPLIT_25,UNTUNED_25,NONE
1,RB,J16,PAD99,IO_L44P_A3_M1DQ6_1,,,,EBI,EBI_D[11],INOUT,,,LVCMOS33,,FAST,,UNTUNED_SPLIT_25,UNTUNED_25,NONE
1,RB,H18,PAD98,IO_L43N_GCLK4_M1DQ5_1,,,,EBI,EBI_D[12],INOUT,,,LVCMOS33,,FAST,,UNTUNED_SPLIT_25,UNTUNED_25,NONE
1,RB,H17,PAD97,IO_L43P_GCLK5_M1DQ4_1,,,,EBI,EBI_D[13],INOUT,,,LVCMOS33,,FAST,,UNTUNED_SPLIT_25,UNTUNED_25,NONE
1,RB,L16,PAD96,IO_L42N_GCLK6_TRDY1_M1LDM_1,,,,EBI,EBI_D[14],INOUT,,,LVCMOS33,,FAST,,UNTUNED_SPLIT_25,UNTUNED_25,NONE
1,RB,L15,PAD95,IO_L42P_GCLK7_M1UDM_1,,,,EBI,EBI_D[15],INOUT,,,LVCMOS33,,FAST,,UNTUNED_SPLIT_25,UNTUNED_25,NONE
